Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background
0.48 0.28,0.48 0.36,0.43 0.36,0.41 0.46,0.40 0.56,0.53 0.36,0.55 0.47,0.55 0.58,0.44 0.57,0.43 0.73,0.41 0.88,0.51 0.57,0.50 0.74,0.51 0.88,0.47 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.36,0.43 0.36,0.40 0.46,0.40 0.56,0.53 0.37,0.55 0.47,0.55 0.58,0.44 0.57,0.43 0.73,0.41 0.88,0.51 0.57,0.50 0.74,0.51 0.88,0.47 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.41 0.47,0.40 0.57,0.53 0.37,0.55 0.47,0.55 0.58,0.44 0.58,0.43 0.73,0.41 0.87,0.51 0.57,0.50 0.74,0.51 0.88,0.46 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.41 0.47,0.40 0.57,0.53 0.37,0.55 0.47,0.55 0.58,0.44 0.58,0.43 0.74,0.42 0.87,0.51 0.57,0.50 0.74,0.51 0.88,0.46 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.41 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.58,0.44 0.58,0.43 0.74,0.42 0.88,0.51 0.58,0.50 0.74,0.51 0.88,0.47 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.41 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.58,0.44 0.58,0.43 0.74,0.42 0.87,0.51 0.58,0.50 0.74,0.51 0.88,0.47 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.41 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.58,0.44 0.58,0.43 0.74,0.41 0.87,0.51 0.58,0.50 0.74,0.51 0.88,0.46 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.41 0.46,0.40 0.57,0.53 0.37,0.55 0.47,0.55 0.58,0.44 0.57,0.43 0.73,0.41 0.88,0.51 0.57,0.50 0.74,0.51 0.88,0.46 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.36,0.43 0.36,0.41 0.46,0.40 0.57,0.53 0.37,0.55 0.47,0.55 0.58,0.44 0.58,0.43 0.73,0.42 0.87,0.51 0.57,0.50 0.74,0.51 0.88,0.46 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.36,0.43 0.36,0.41 0.46,0.40 0.57,0.53 0.37,0.55 0.47,0.55 0.58,0.44 0.58,0.43 0.74,0.42 0.87,0.51 0.57,0.50 0.74,0.51 0.88,0.47 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.36,0.41 0.46,0.40 0.57,0.53 0.37,0.55 0.47,0.55 0.58,0.44 0.58,0.43 0.73,0.41 0.88,0.51 0.57,0.50 0.74,0.51 0.88,0.47 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.41 0.46,0.40 0.57,0.53 0.37,0.55 0.47,0.55 0.58,0.44 0.57,0.43 0.73,0.42 0.87,0.51 0.57,0.50 0.74,0.51 0.88,0.47 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.41 0.47,0.40 0.57,0.53 0.37,0.55 0.47,0.55 0.58,0.44 0.58,0.43 0.74,0.42 0.87,0.51 0.58,0.50 0.74,0.51 0.87,0.47 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.41 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.58,0.44 0.58,0.43 0.73,0.42 0.87,0.51 0.58,0.50 0.74,0.51 0.88,0.47 0.27,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.40 0.47,0.40 0.57,0.53 0.38,0.55 0.48,0.55 0.59,0.44 0.58,0.43 0.74,0.42 0.86,0.51 0.58,0.50 0.74,0.51 0.88,0.46 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.40 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.59,0.44 0.58,0.43 0.74,0.42 0.86,0.51 0.58,0.50 0.74,0.51 0.88,0.46 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.29,0.48 0.37,0.43 0.37,0.40 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.58,0.44 0.58,0.43 0.74,0.42 0.86,0.51 0.58,0.50 0.74,0.51 0.88,0.46 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.29,0.48 0.37,0.43 0.37,0.40 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.58,0.44 0.58,0.43 0.74,0.42 0.86,0.51 0.58,0.50 0.74,0.51 0.88,0.47 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.40 0.47,0.40 0.57,0.53 0.37,0.55 0.47,0.55 0.58,0.44 0.58,0.43 0.74,0.42 0.86,0.51 0.58,0.50 0.74,0.51 0.88,0.47 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.28,0.48 0.37,0.43 0.37,0.40 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.58,0.44 0.58,0.43 0.74,0.42 0.86,0.51 0.58,0.50 0.74,0.51 0.88,0.47 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.29,0.48 0.37,0.43 0.37,0.40 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.58,0.44 0.58,0.43 0.74,0.42 0.86,0.51 0.58,0.50 0.74,0.51 0.88,0.46 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.29,0.48 0.37,0.43 0.37,0.40 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.58,0.44 0.58,0.43 0.74,0.42 0.86,0.51 0.58,0.50 0.74,0.51 0.88,0.46 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.29,0.48 0.37,0.43 0.37,0.40 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.59,0.44 0.58,0.43 0.74,0.42 0.86,0.51 0.58,0.50 0.74,0.51 0.88,0.46 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.29,0.48 0.37,0.43 0.37,0.40 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.59,0.44 0.58,0.43 0.74,0.42 0.86,0.51 0.58,0.50 0.74,0.51 0.88,0.46 0.28,0.49 0.27,0.45 0.28,0.50 0.28
0.48 0.29,0.48 0.37,0.43 0.37,0.40 0.47,0.40 0.57,0.53 0.37,0.55 0.48,0.55 0.59,0.44 0.58,0.43 0.74,0.42 0.86,0.51 0.58,0.50 0.74,0.51 0.88,0.46 0.28,0.49 0.27,0.45 0.28,0.50 0.28
